Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19,,,1157.140869140625,1752.8773193359375,3488.131103515625,1475.65625,,1176.67417769156,1755.46226812506,3532.1367200012605,1485.47150978375,,1154.58237101426,1738.2135180462226,3480.232585824866,1467.8238660907393,,1171.9999545311712,1748.3653628246682,3532.08785281875,1469.8067419652286,,6686394,2585989,1898535,13797742
2024-08-20,,,1160.6341552734375,1759.8331298828125,3505.44873046875,1483.1416015625,,1170.8191375512558,1772.5228787734409,3512.611365799634,1491.0484162933285,,1151.3349594196018,1756.073204285589,3481.213722306453,1477.2674041310693,,1155.4679086606573,1767.165030694927,3494.9501913347194,1484.4057091952604,,10427061,3870333,1285569,8411808
2024-08-21,,,1156.1075439453125,1760.302978515625,3528.359375,1485.8433837890625,,1159.846970432822,1766.2249067508462,3547.2470203460052,1494.964564922092,,1146.513086110094,1755.0391060531026,3514.4755854732,1477.2426107826689,,1158.223268928432,1762.5589566406527,3522.4232099822525,1480.464784262564,,17234142,1966902,1714248,7769996
2024-08-22,,,1172.098388671875,1767.3997802734375,3538.6123046875,1485.2979736328125,,1173.5744592109102,1779.9955522213554,3544.1558549311926,1493.6012664349316,,1157.829706794536,1757.4829319922503,3516.4867313464474,1477.8869991875908,,1163.1435847596479,1770.924710030664,3539.151999558256,1490.1312336221058,,8564142,4300287,1734927,10445782
2024-08-23,,,1184.300537109375,1750.3392333984375,3530.81201171875,1487.1322021484375,,1185.7766075752363,1769.6088509029312,3553.8205479759677,1498.3849993365056,,1169.589082848793,1745.5453515046195,3519.5284843024815,1485.5955458508122,,1173.968043848346,1765.4729100507645,3538.612315371432,1490.8749048344312,,7518309,5015935,1825180,9249654
2024-08-26,,,1193.9442138671875,1763.546142578125,3573.34619140625,1499.6490478515625,,1195.5677952382332,1775.3898853769442,3579.3314631906665,1509.9600269352031,,1181.889638715724,1752.1253455156184,3527.0347138046727,1490.131267553257,,1186.3178499958535,1757.7652339668489,3543.0279368370334,1494.0722092753902,,10920226,3728589,1606911,8816114
2024-08-27,,,1206.7860107421875,1786.0584716796875,3633.00146484375,1487.6031494140625,,1212.8379237983015,1788.5494451104064,3666.655860090481,1500.516654009415,,1189.6144386937667,1761.431007151832,3567.5570530610084,1486.6117113802566,,1193.9442695051366,1763.54596510821,3574.081779686039,1497.5671500638725,,16295325,3830679,3315435,6251156
2024-08-28,,,1204.325927734375,1822.7177734375,3619.608642578125,1485.4715576171875,,1206.8352956977394,1833.903574209478,3654.2930826386964,1494.567928369235,,1197.8804917932434,1783.5205978872887,3615.6348304728103,1480.2168879705305,,1203.1451193533376,1792.450420519267,3635.258357368185,1492.1141436005682,,12291305,6514531,1278175,9610286
2024-08-29,,,1202.4071044921875,1817.312744140625,3614.114013671875,1507.90283203125,,1215.2980967161698,1833.4334456812517,3640.1642939269036,1523.8401488737275,,1197.5852499624118,1805.6100233635862,3582.814583620265,1481.2083164719252,,1199.504093644897,1816.983773648736,3621.031354915697,1490.2303777286736,,10806748,7228284,2165489,38335358
2024-08-30,,,1209.5904541015625,1827.0416259765625,3634.9150390625,1496.6995849609375,,1215.8392482869917,1832.9635541258785,3674.5056024529986,1526.5418444404818,,1199.4548426639624,1812.2839653100993,3597.3850419212913,1490.4534771750382,,1210.3777397050092,1821.6837784081808,3648.3573473216406,1520.865886117465,,21211148,13466759,2592912,41620730
2024-09-02,,,1210.3284912109375,1846.5933837890625,3613.770751953125,1503.267822265625,,1219.4309254466023,1857.1681741009113,3651.8893098608423,1513.7275412609433,,1202.997389524353,1826.195834151735,3597.336047902118,1493.7252318027681,,1219.2341641068904,1826.712755054023,3636.2395948078406,1497.9388431759776,,12516759,5573739,1277813,11240852
