date,nav,daily_return,rolling_avg_return_5d,rolling_avg_return_10d,rolling_avg_return_30d,rolling_volatility_5d,rolling_volatility_10d,rolling_volatility_30d
2013-01-02,18.66,,,,,,,
2013-01-03,18.73,0.0037513397642015,,,,,,
2013-01-04,18.76,0.0016017084890549427,,,,,,
2013-01-07,18.72,-0.002132196162047073,,,,,,
2013-01-08,18.76,0.002136752136752351,,,,,,
2013-01-09,18.76,0.0,0.0010715208455923443,,,0.0022365825306178274,,
2013-01-10,18.77,0.0005330490405115462,0.0004278627008543534,,,0.0016617948938537097,,
2013-01-11,18.69,-0.0042621204049013706,-0.0007449030779369092,,,0.0024893462402421802,,
2013-01-14,18.84,0.008025682182985383,0.001286672591069582,,,0.004448299226632105,,
2013-01-15,18.94,0.005307855626327074,0.0019208932889845265,,,0.004811069588442859,,
2013-01-16,18.78,-0.008447729672650506,0.00023134735445442533,0.0006514341000233848,,0.00674780049549115,0.0047598457084107836,
2013-01-17,18.94,0.008519701810436597,0.0018286779084394356,0.0011282703046468945,,0.00771329562014451,0.005311744581443182,
2013-01-18,18.97,0.0015839493136218241,0.0029978918521440744,0.0011264943871035827,,0.006966105064085693,0.00531157167148976,
2013-01-21,19.08,0.00579862941486553,0.002552481298520104,0.001919576944794843,,0.0066272162620036185,0.0053627845667228585,
2013-01-22,18.93,-0.007861635220125729,-8.141687077045656e-05,0.000919738209107035,,0.00777583787896993,0.006186574138667794,
2013-01-23,18.91,-0.0010565240359218242,0.0013968242565752798,0.0008140858055148525,,0.006361687645818519,0.006212991460042823,
2013-01-24,18.8,-0.005817028027498616,-0.001470521711011763,0.00017907809871383628,,0.005524495326538622,0.0065597400614931,
2013-01-25,18.99,0.01010638297872335,0.00023396502200854208,0.0016159284370763083,,0.007619854793423918,0.007035256104892469,
2013-01-28,19.02,0.0015797788309637184,-0.0006098050947718203,0.0009713381018741418,,0.00706283819092665,0.0066684568668163155,
2013-01-29,18.89,-0.006834910620399537,-0.0004044601748265819,-0.00024293852279851924,,0.006809676923362844,0.006892849036204557,
2013-01-30,18.89,0.0,-0.00019315536764221707,0.0006018344444665314,,0.006800771120775569,0.00626459467673605,
2013-01-31,18.78,-0.0058231868713605195,-0.0001943871364145977,-0.0008324544237131804,,0.006802044817571564,0.00588050213165889,
2013-02-01,18.74,-0.0021299254526092604,-0.0026416488226811198,-0.0012038419003362888,,0.003632019052958252,0.005827977401724432,
2013-02-04,18.67,-0.003735325506936893,-0.003704669690261242,-0.002157237392516531,,0.002760971750778175,0.005312166961485295,
2013-02-05,18.55,-0.006427423674343902,-0.003623172301050115,-0.0020138162379383486,,0.0026492278067988127,0.005158172592760304,
2013-02-06,18.57,0.0010781671159030282,-0.003407538877869509,-0.001800347122755863,,0.003033824229153767,0.005245622116895347,
2013-02-07,18.49,-0.004308023694130414,-0.0031045062424234883,-0.0016494466894190428,,0.0027987823959149754,0.005137833194684722,
2013-02-08,18.39,-0.005408328826392528,-0.0037601869171801417,-0.0032009178699306307,,0.002895726879602876,0.00315233608123209,
2013-02-11,18.38,-0.0005437737901033968,-0.0031218765738134425,-0.003413273132037342,,0.0032345181823219896,0.0028516936695178554,
2013-02-12,18.48,0.005440696409140466,-0.0007482525571165688,-0.002185712429083342,,0.0043608769496075,0.0037238798733889773,
2013-02-13,18.47,-0.00054112554112562,-0.0010721110885222984,-0.0022398249831959037,-0.00032885214623532927,0.00425004888546623,0.0036923882263553845,0.005033010459903081
2013-02-14,18.4,-0.0037899296155928797,-0.0009684922728147915,-0.0020364992576191398,-0.0005802277922284752,0.004156723017459861,0.0035253448337269153,0.005010471910310366
2013-02-15,18.35,-0.0027173913043476716,-0.0004303047684058203,-0.002095245842792981,-0.0007241977853418957,0.003571122205484723,0.0035319632513952323,0.0050076659692594875
2013-02-18,18.36,0.0005449591280652921,-0.00021255818477208254,-0.0016672173792927625,-0.0006349592756714835,0.003595582421579238,0.0035702725854633473,0.005005563214803782
