date,nav,daily_return,rolling_avg_return_5d,rolling_avg_return_10d,rolling_avg_return_30d,rolling_volatility_5d,rolling_volatility_10d,rolling_volatility_30d
2013-01-02,16.83,,,,,,,
2013-01-03,16.86,0.0017825311942960553,,,,,,
2013-01-04,16.88,0.0011862396204032066,,,,,,
2013-01-07,16.8,-0.004739336492890933,,,,,,
2013-01-08,16.84,0.0023809523809523725,,,,,,
2013-01-09,16.8,-0.002375296912113911,-0.000352982041870642,,,0.0030713954621696556,,
2013-01-10,16.78,-0.0011904761904761862,-0.0009475835188250903,,,0.0028331566063875082,,
2013-01-11,16.72,-0.0035756853396902155,-0.0018999685108437748,,,0.002735216515720696,,
2013-01-14,16.92,0.011961722488038395,0.001440243285342091,,,0.006289376561822432,,
2013-01-15,17.03,0.006501182033096908,0.0022642892157709983,,,0.006699961549783054,,
2013-01-16,16.89,-0.008220786846741102,0.00109519122884556,0.0003711045934874591,,0.008079836773687355,0.0058129352315227836,
2013-01-17,17.01,0.007104795737122638,0.002754245614365325,0.0009033310477701173,,0.008340620670569357,0.006188068855421404,
2013-01-18,17.02,0.0005878894767783471,0.0035869605776590375,0.0008434960334076314,,0.007736630640378914,0.006187922190038432,
2013-01-21,17.06,0.00235017626321965,0.0016646513326952883,0.0015524473090186897,,0.006171273144196753,0.0058754609885904455,
2013-01-22,16.96,-0.0058616647127782695,-0.0008079180164797473,0.0007281855996456255,,0.006225428839629491,0.0063085298447435635,
2013-01-23,17.0,0.002358490566037652,0.0013079374660760034,0.0012015643474607817,,0.004682818431528062,0.006226853632203711,
2013-01-24,16.85,-0.008823529411764675,-0.001877727563701459,0.00043825902533193293,,0.005148201159703297,0.006975494026393177,
2013-01-25,16.98,0.007715133531157159,-0.0004522787528256966,0.0015673409124166704,,0.0067416632917235925,0.0071648101962983705,
2013-01-28,17.04,0.0035335689045936647,-0.00021560022455089368,0.0007245255540721974,,0.006883916754986938,0.006242596087773923,
2013-01-29,16.93,-0.006455399061032874,-0.0003343470942018145,-0.0005711325553407809,,0.007009632315208118,0.006254991884468224,
2013-01-30,16.93,0.0,-0.0008060452074093449,0.00025094612933332925,,0.006860898238252394,0.005648747739816573,
2013-01-31,16.89,-0.002362669816893037,0.00048612671156498253,-0.0006958004260682382,,0.0054332813384145055,0.00514314649389817,
2013-02-01,16.88,-0.000592066311426942,-0.0011753132569518377,-0.0008137960048887671,,0.003646375980396347,0.005123922912865922,
2013-02-04,16.83,-0.002962085308056861,-0.0024744440994819428,-0.0013450221620164183,,0.002537937626443437,0.005034036245284171,
2013-02-05,16.72,-0.006535947712418277,-0.0024905538297590236,-0.001412450461980419,,0.0025695827072610114,0.005105268201156035,
2013-02-06,16.74,0.0011961722488038617,-0.002251319379998251,-0.001528682293703798,,0.002894561553477743,0.005022435094154878,
2013-02-07,16.68,-0.0035842293906809264,-0.002495631294755829,-0.0010047522915954232,,0.002957184258961758,0.00441322685415236,
2013-02-08,16.63,-0.00299760191846532,-0.0029767384161635047,-0.0020760258365576712,,0.0027591144193277986,0.0031928376822718905,
2013-02-11,16.59,-0.0024052916416115178,-0.002865379682874436,-0.0026699118911781895,,0.0027710639825227895,0.0025135580920660353,
2013-02-12,16.6798,0.0054128993369499945,-0.0004756102730007816,-0.0014830820513799027,,0.0037820968750699943,0.0032279687815126128,
2013-02-13,16.7595,0.0047782347510161305,0.00024080222744167213,-0.0010052585762782896,-0.0001277359511525004,0.004456983942978749,0.0037785865241595305,0.005022052843201533
2013-02-14,16.6197,-0.008341537635370821,-0.0007106594214963069,-0.001603145358126068,-0.0004652049121413963,0.00578701386221913,0.0044334985458274806,0.005225304104626959
2013-02-15,16.6134,-0.0003790682142278401,-0.00018695268064881088,-0.0015818455484061579,-0.0005173818399624312,0.005645055818110102,0.004439403505968997,0.005216052028385334
2013-02-18,16.6177,0.00025882721176895274,0.00034587109002728325,-0.0012597542964235763,-0.000350776383140435,0.005507377027044869,0.004444976166280077,0.005156026410994056
