stock_1,stock_2,correlation
LT,RELIANCE,0.44734944658596004
ICICIBANK,LT,0.4134668977003799
ICICIBANK,RELIANCE,0.2816689080067008
INFY,LT,0.23521151889845443
INFY,RELIANCE,0.21218410520279643
ICICIBANK,INFY,0.1649921326728699
