date,nav,daily_return,rolling_avg_return_5d,rolling_avg_return_10d,rolling_avg_return_30d,rolling_volatility_5d,rolling_volatility_10d,rolling_volatility_30d,future_5d_return,nifty_close,nifty_return,nifty_rolling_5d,nifty_rolling_10d
2024-08-28,1255.73,0.0010722385870367,0.0025344785291526,0.0035501084564954,0.0009432298586807,0.0031761339073808,0.0049028866161971,0.0082485410805896,0.0024232916311626163,25052.349609375,,,
2024-08-29,1259.391,0.0029154356430125,0.0029033655451711,0.0038500669042505,0.0010313542470068,0.0030689688334387,0.0047450548218412,0.0082552389639807,-0.001401471028457446,25151.94921875,0.00397565940632294,,
2024-08-30,1264.332,0.0039233248451038,0.0033872144277012,0.0027001184664121,0.0009861448324552,0.0029827021408318,0.0024831229262554,0.0082348600130038,-0.01835277442950123,25235.900390625,0.003337760073577778,,
2024-09-02,1263.005,-0.0010495660949814,0.0015374439742607,0.0026296129830351,0.0013549455106336,0.0019369293691068,0.0025870134883859,0.007867513748568,-0.013615939762708917,25278.69921875,0.001695950113232314,,
2024-09-03,1263.744,0.0005851124896574,0.0014893090939658,0.00221799690585,0.0013224371124041,0.0019618662124829,0.0025479333043308,0.0078686504714194,-0.008493808872683029,25279.849609375,4.550829989491412e-05,,
2024-09-04,1258.773,-0.0039335498328775,0.0004881514099829,0.0015113149695678,0.0012081538984115,0.0031471234379363,0.0031699542026401,0.0079208324287327,-0.010376771665741136,25198.69921875,-0.0032100820170585243,0.0011689591751938844,
2024-09-05,1257.626,-0.0009112048002299,-0.0002771766786655,0.0013130944332527,0.0011850500459256,0.0028616165611944,0.0032612079948269,0.0079261450880819,0.009447164737370395,25145.099609375,-0.0021270784221717465,-5.158839050505293e-05,
2024-09-06,1241.128,-0.013118367463777,-0.0036855151404417,-0.0001491503563702,0.0007577313390216,0.005520948961717,0.0056032561649995,0.0083434826669031,0.020227567180822525,24852.150390625,-0.011650350298901935,-0.0030492104650009953,
2024-09-09,1245.808,0.0037707633700956,-0.0027214492474263,-0.0005920026365827,0.0003153297436176,0.0064405794843631,0.0050141629032789,0.0077832719542897,0.021451138538201686,24936.400390625,0.003390048695012693,-0.0027103907486449195,
2024-09-10,1253.01,0.0057809871184002,-0.0016822743216777,-9.64826138559527e-05,0.0004796661239847,0.0074478672682161,0.0053998553162567,0.0078467580245473,0.01777160597281746,25041.099609375,0.0041986500501236534,-0.0018797623985991718,
2024-09-11,1245.711,-0.0058251729834558,-0.0020605989517934,-0.0007862237709052,0.0002153335794643,0.0076364688771305,0.005667847841569,0.0079233189399821,0.021816456625974867,24918.44921875,-0.004897963449619458,-0.0022173386851113584,-0.0005241897549587371
2024-09-12,1269.507,0.0191023439626045,0.0019421108007735,0.0008324670610539,0.0006679787523905,0.0122444196137616,0.0084641186216724,0.0085962939803041,0.004794774664495627,25388.900390625,0.01887963282727112,0.001984003564777215,0.0009662075871360809
2024-09-13,1266.233,-0.0025789538773713,0.0040499935180546,0.0001822391888064,0.0004940016605824,0.0096321002282652,0.0084500372418319,0.008607807368236,0.022459531539614108,25356.5,-0.0012761636040355961,0.004058840903750483,0.0005048152193747435
2024-09-16,1272.532,0.0049745978820643,0.0042907604204483,0.000784655586511,0.0010185487265007,0.0096384192100852,0.0085663973169106,0.0083745590690013,0.023624553252884928,25383.75,0.0010746751326089488,0.003595766191269734,0.000442687721312407
2024-09-17,1275.278,0.0021579025124711,0.0035661434992625,0.0009419345887924,0.0019094645155012,0.0096345661333211,0.0085767585805874,0.0068395358482419,0.021065995022261808,25418.55078125,0.0013709866056039743,0.0030302335023657976,0.000575235551883313
2024-09-18,1272.888,-0.0018741011763709,0.0043563578606795,0.001147879454443,0.0019840168479431,0.0087973959425017,0.0084707514159343,0.0067836132737146,0.024281005084500817,25377.55078125,-0.0016129951842196455,0.0036872271554457604,0.0007349442351672009
2024-09-19,1275.594,0.0021258743895771,0.000961063946074,0.0014515873734237,0.0015392161309005,0.0031411601376121,0.0084431229548719,0.0062882501863233,0.026528033214329838,25415.80078125,0.0015072376499098983,0.00021274811997351595,0.0010983758423753654
2024-09-20,1294.672,0.0149561694394924,0.0044680886094468,0.0042590410637507,0.0022253761188774,0.0063502497918303,0.0076945082700988,0.0065947543703681,0.009152897413398753,25790.94921875,0.014760441377741573,0.00342006911632895,0.003739455010039716
2024-09-23,1302.595,0.0061196967262751,0.0046971083782889,0.0044939343993686,0.0021364672304995,0.0063935846191766,0.0077137755078154,0.0065208073672044,-0.009173227288604702,25939.05078125,0.005742385099666292,0.004353611109740418,0.003974688650505076
2024-09-24,1302.143,-0.0003469996430203,0.0041961279471906,0.0038811357232266,0.0021471490089353,0.0067314977804016,0.0078425046225406,0.0065163167853089,-0.010528797528382094,25940.400390625,5.2030021699067674e-05,0.0040898197929594374,0.0035600266476626175
2024-09-25,1303.795,0.0012686778641055,0.0048246837552859,0.0045905208079827,0.0024514684978576,0.0061440849568339,0.0071579337813417,0.0062401408273635,-0.03230799320445321,26004.150390625,0.0024575565157058943,0.004903930132944545,0.0042955786441951525
2024-09-26,1309.433,0.0043242994489163,0.0052643687671538,0.0031127163566139,0.0025984167739728,0.0059791161081821,0.0050416371540603,0.0062302700872817,-0.04369066611273742,26216.05078125,0.008148714241454025,0.006232225451253371,0.0032224867856134433
2024-09-27,1306.522,-0.0022230996163988,0.0018285149559755,0.0031483017827111,0.0020102198126432,0.0033950347275068,0.0049980674660727,0.0057955821584285,-0.052717061021551825,26178.94921875,-0.0014152231703233875,0.002997092541640378,0.003208580828984664
2024-09-30,1290.646,-0.0121513453275183,-0.0018256934547831,0.0014357074617529,0.0016166586770996,0.0062522216095135,0.0068818614788926,0.006336628228456,-0.03183444569618621,25810.849609375,-0.014060900852023384,-0.0009635646486975569,0.0016950232305214309
2024-10-01,1288.433,-0.0017146452241745,-0.0020992225710139,0.0010484526880883,0.0014027947275769,0.0062010645386763,0.0069453713642746,0.0063372012389497,-0.03014824985078779,25796.900390625,-0.0005404401234794243,-0.0010820586777332553,0.0015038805576130909
2024-10-03,1261.672,-0.0207701913875226,-0.0065069964213396,-0.0008411563330268,0.0006060126969946,0.0099238699265886,0.0098090057043396,0.0075068804964155,-0.009940777000678414,25250.099609375,-0.021196375260987388,-0.005812845033071912,-0.00045445745006368333
2024-10-04,1252.223,-0.00748926820917,-0.0088697099529569,-0.0018026705929015,0.0003206704045916,0.0079004523407383,0.0099560052210787,0.0076499248167495,-0.0030865109489284226,25014.599609375,-0.009326695880144675,-0.009307927057391651,-0.0015378508030691406
2024-10-07,1237.646,-0.0116408978273039,-0.0107532695951379,-0.0044623773195811,-0.0001174955374002,0.0069898436569378,0.0084148675095151,0.0079503591652684,0.015813891855991136,24795.75,-0.008748875168602677,-0.01077465745704751,-0.0038887824577035655
2024-10-08,1249.559,0.009625531048458,-0.0063978943199426,-0.0041117938873628,-6.995404152566609e-05,0.0113349689939229,0.0089600951164908,0.0080058771904719,0.005854065314242929,25013.150390625,0.00876764730346924,-0.006208947825948985,-0.0035862562373232707
2024-10-09,1249.589,2.4008470188352504e-05,-0.00605016358107,-0.004074693076042,-9.667998889045052e-05,0.011539383848281,0.0089781658681588,0.0080041219271717,0.0022511401748894766,24981.94921875,-0.0012473907279866303,-0.006350337946850426,-0.003716198312291841
2024-10-10,1249.13,-0.0003673207750707,-0.0019695894585796,-0.0042382929399596,-0.0001446653009607,0.0081392502154858,0.0088843964868802,0.0080011871210134,-0.007760601378559606,24998.44921875,0.0006604768849507447,-0.0019789675176627997,-0.003895906275367356
2024-10-11,1248.358,-0.0006180301489838,-0.0005953418465424,-0.0047325258997496,-0.0002624474940272,0.0075317105102829,0.0084835668631712,0.0079805680857352,-0.0008427069798887521,24964.25,-0.0013680536120755926,-0.00038723906404898313,-0.004847583060720318
2024-10-14,1257.218,0.00709732304355,0.0031523023276283,-0.0038004836337547,-0.000156647554079,0.004843946086327,0.0092658227336976,0.0080586305537059,-0.012884002615298318,25127.94921875,0.006557345754428789,0.00267400512055731,-0.0040503261682451
2024-10-15,1256.874,-0.0002736200086222,0.0011724721162122,-0.0026127111018651,-0.0001307826845337,0.0033200478234748,0.0088273129075965,0.0080569108800066,-0.02622935950620353,25057.349609375,-0.0028096049048969007,0.0003585546788840821,-0.0029251965735324513
2024-10-16,1252.402,-0.0035580336612898,0.0004560636899166,-0.0027970499455766,-0.0002688875562319,0.0039554829414069,0.008825722399424,0.0080796934254154,-0.025815991989792453,24971.30078125,-0.0034340754096676696,-7.878225745212575e-05,-0.003214560102151276
2024-10-17,1239.436,-0.010352905856107,-0.0015410533262905,-0.0017553213924351,-0.0004828660903396,0.0063007313064954,0.0068657405873045,0.0082630169006052,-0.017332076847856537,24749.849609375,-0.008868227322834543,-0.0019845230990091834,-0.0019817453083359913
2024-10-18,1247.306,0.0063496622657404,-0.0001475148433457,-0.000371428344944,-0.0002408371881406,0.0072542837902483,0.0069754056723339,0.0083558540921964,-0.034423790152536826,24854.05078125,0.004210173941240125,-0.0008688775883460397,-0.0006280583261975114
2024-10-21,1241.02,-0.0050396614784183,-0.0025749117477394,0.0002886952899444,2.8453011371339563e-05,0.006174193819281,0.0060400550465105,0.0080511533611857,-0.02573769963417194,24781.099609375,-0.00293518237799828,-0.002767383214831454,-4.668904713707178e-05
2024-10-22,1223.907,-0.0137894635058258,-0.0052780804471801,-0.0020528041654839,-0.0005568878844927,0.0076879337219158,0.0065364978797148,0.0084004561740639,-0.006935984515163307,24472.099609375,-0.012469180337869368,-0.004699298301425947,-0.0021703718112709323
2024-10-23,1220.07,-0.0031350421232986,-0.0051934821395819,-0.0023687092248326,-0.000854088859216,0.0077138765804557,0.0065012167151155,0.0083258853131502,-0.008098715647462784,24435.5,-0.001495564743491773,-0.004311596168190768,-0.002195189212821447
2024-10-24,1217.954,-0.0017343267189587,-0.0034697663121522,-0.0025054098192214,-0.0007177273170661,0.0072198630434161,0.0064687486674518,0.0082750058410195,-0.008856656326922119,24399.400390625,-0.0014773427748562273,-0.0028334192585951047,-0.002408971178802144
2024-10-25,1204.369,-0.011153951627073,-0.0069704890907149,-0.0035590019670303,-0.0017262705033886,0.0052406086468728,0.0069660836530149,0.007591648541962,-0.0070634498231022524,24180.80078125,-0.008959220549493163,-0.005467298156741763,-0.003168087872543901
2024-10-28,1209.079,0.0039107615689211,-0.005180404481247,-0.0038776581144932,-0.0015099466551789,0.0072198930404623,0.0064804113406478,0.0076586797308773,-0.0020412231127989733,24339.150390625,0.0065485676346082045,-0.003570548154220465,-0.0031689656845259595
2024-10-29,1215.418,0.0052428335948271,-0.0013739450611164,-0.0033260127541482,-0.0015010054647535,0.0065305005585177,0.0070325649865566,0.0076666636323294,0.002372846214224289,24466.849609375,0.0052466588480091225,-2.738031704476729e-05,-0.0023633393092353573
2024-10-30,1210.189,-0.0043022235971491,-0.0016073813558865,-0.0034004317477342,-0.0017163430017408,0.0066293031304727,0.0070392274248895,0.0076510587819969,-0.004321639016715562,24340.849609375,-0.005149825253829232,-0.0007582324191122592,-0.0025349142936515134
