date,nav,daily_return,rolling_avg_return_5d,rolling_avg_return_10d,rolling_avg_return_30d,rolling_volatility_5d,rolling_volatility_10d,rolling_volatility_30d,future_5d_return
2025-03-31,1163.681,-7.733480212168686e-05,-0.0017261185413344,0.0046743714542226,0.0006757544598286,0.0039880673166425,0.0078488270463803,0.0074679741325987,-0.0557197376256896
2026-03-06,1219.408,-0.0133497099700867,-0.008805803691599,-0.0034322813245113,-0.0006210662761724,0.0109763330480014,0.0099001027037529,0.0094350243774132,-0.0530372114993504
2026-02-27,1258.181,-0.0130791344898046,-0.0013395507736538,-0.0006674643561803,-0.0003503002545956,0.0083863092280706,0.0081757599318727,0.0085994347609976,-0.0499268388252565
2026-03-05,1235.907,0.010729587409745,-0.005593785937539,-0.0036201454448213,-0.0002871505553154,0.0116437712251835,0.0101244876170021,0.0091417155967552,-0.0476314156324059
2026-02-26,1274.855,0.0027103788002129,0.0019412410425764,-0.0005810739752591,0.0001207476313236,0.0052782887114381,0.008033362190617,0.0082584242403397,-0.0434927893760467
2025-04-02,1155.561,0.0085629500327295,-0.0010852489424721,0.0019260373010672,0.0006502290545913,0.008873857742648,0.0091585736605735,0.0080588660694372,-0.0403198100316641
2026-03-16,1162.894,0.0070665625156962,-0.005404859793641,-0.007769194762221,-0.0021889910343232,0.0147974877726618,0.0129343563991407,0.0112224810374974,-0.040133494540345
2026-05-06,1206.94,0.016708715741236,0.0028256936789684,-0.0008944480783242,0.001904950356608,0.0092419264228025,0.0085888278274356,0.014159006795317,-0.0372719439243045
2026-02-24,1268.128,-0.0066900661017069,-0.0017155833910863,-0.001195574078596,-1.2933921812848431e-05,0.0091985848028862,0.0079211741310936,0.0082386571422568,-0.0357542771707587
2026-03-20,1148.333,0.0044355537051001,-0.0009790860874756,-0.0058704056607094,-0.0032092117342453,0.0180151403313747,0.0160524716308973,0.0115829792580813,-0.0357256997752395
