,ICICIBANK,INFY,LT,RELIANCE
ICICIBANK,1.0,0.1649921326728699,0.4134668977003799,0.2816689080067008
INFY,0.1649921326728699,1.0,0.23521151889845443,0.21218410520279643
LT,0.4134668977003799,0.23521151889845443,1.0,0.44734944658596004
RELIANCE,0.2816689080067008,0.21218410520279643,0.44734944658596004,1.0
