date,nav,daily_return,rolling_avg_return_5d,rolling_avg_return_10d,rolling_avg_return_30d,rolling_volatility_5d,rolling_volatility_10d,rolling_volatility_30d,future_5d_return
2013-01-01,228.943,,,,,,,,0.009591907155929613
2013-01-02,231.032,0.00912454191654688,,,,,,,-0.002311368122165036
2013-01-03,231.435,0.0017443471034315206,,,,,,,-0.004299263292069089
2013-01-04,232.035,0.002592520578132085,,,,,,,-0.009946775270971986
2013-01-07,231.066,-0.004176094123731322,,,,,,,0.008404525114036776
2013-01-08,231.139,0.0003159270511456924,0.0019202485051049711,,,0.004799061767086062,,,0.012100943588057467
2013-01-09,230.498,-0.0027732230389506674,-0.00045930448599453835,,,0.0029128785061640653,,,0.0012971912988399836
2013-01-10,230.44,-0.00025162908138032236,-0.0008584997229569069,,,0.002661283023596178,,,0.008475091130012213
2013-01-11,229.727,-0.0030940808887345295,-0.00199582001633023,,,0.0019332940870688965,,,0.01927505256238926
2013-01-14,233.008,0.014282169705781333,0.0016958327495723013,,,0.007194240015425,,,0.007866682689006366
2013-01-15,233.936,0.00398269587310307,0.0024291865139637768,0.002174717509534374,,0.007205291841567699,0.0057777008326845136,,-0.006377812735107069
2013-01-16,230.797,-0.01341819984953152,0.0003001911518476064,-7.955666707346599e-05,,0.010112818662800305,0.007027390333174677,,0.006386564816700302
2013-01-17,232.393,0.006915167874799177,0.0017335505430835063,0.0004375254100632997,,0.010514956264529815,0.007358923092717851,,-0.012560619295762021
2013-01-18,234.155,0.007581983966814754,0.003868763514193363,0.0009364717489315666,,0.010372556303658463,0.0076832686270945855,,-0.006072900429202832
2013-01-21,234.841,0.0029296833294185642,0.001598266238920809,0.0016470494942465552,,0.00861723202060257,0.007483900546029636,,-0.008622855463909618
2013-01-22,232.444,-0.01020690594913165,-0.001239654125526135,0.000594766194218821,,0.009879706176325291,0.008378214326491593,,-0.004986147201046287
2013-01-23,232.271,-0.000744265285402057,0.0012951327872997576,0.0007976619695736819,,0.0072497773622047,0.00831189418562849,,-0.006070495240473428
2013-01-24,229.474,-0.01204196821815895,-0.0024962944312918677,-0.0003813719441041807,,0.008435875092156101,0.009259482506117474,,0.007556411619617176
2013-01-25,232.733,0.014202044676085324,-0.001172282289437754,0.0013482406123778046,,0.010643704089720988,0.01025802559015352,,-0.010419665453545557
2013-01-28,232.816,0.00035663184851308927,-0.0016868925856188487,-4.431317334901985e-05,,0.010456350758228726,0.009197514801776996,,-0.017696378255789957
2013-01-29,231.285,-0.006576008521751109,-0.0009607131001427404,-0.0011001836128344377,,0.009823660575535423,0.00928945713743693,,-0.01697472814925305
2013-01-30,230.861,-0.0018332360507599121,-0.0011785072532143116,5.831276704272303e-05,,0.009829731730706117,0.008246405468928953,,-0.014922399192587754
2013-01-31,231.208,0.0015030689462491864,0.0015305001796673157,-0.00048289712581227605,,0.007729439889316307,0.007917425264631175,,-0.0228841562575689
2013-02-01,230.308,-0.0038925988720113214,-0.0020884285299520135,-0.0016303554096948835,,0.0032532945756301194,0.007435558405515516,,-0.026186671761293634
2013-02-04,228.696,-0.006999322646195516,-0.0035596194288937343,-0.0026232560072562915,,0.0035232176289674414,0.007421897774188335,,-0.0190864728722846
2013-02-05,227.359,-0.005846188827089205,-0.0034136554899613534,-0.002187184295052047,,0.0033791832940882186,0.007045369348199319,,-0.009636741892777523
2013-02-06,227.416,0.00025070483244560293,-0.0029968673133202507,-0.002087687283267281,,0.0037328530639400056,0.007074974321499843,,-0.012769550075632297
2013-02-07,225.917,-0.006591444753227593,-0.004615770053215606,-0.0015426349367741454,,0.002970862594136792,0.0064007174655332216,,-0.015151582218248305
2013-02-08,224.277,-0.0072593031954213405,-0.00528911091789761,-0.0036887697239248118,,0.0031425487080285227,0.0034552547949767377,,-0.007918779009885024
2013-02-11,224.331,0.00024077368611141736,-0.0038410916514362236,-0.003700355540164979,,0.0037640885393132838,0.003440345048935002,,-0.005924281530417019
2013-02-12,225.168,0.003731093785522388,-0.0019256351289139051,-0.002669645309437629,-0.0005317038042458976,0.0047866000273332964,0.003984096017836668,0.006802957146299901,-0.0023093867689902847
2013-02-13,224.512,-0.002913380231649332,-0.002558452141732892,-0.002777659727526571,-0.000932967875852438,0.004633655608390373,0.00397352830664289,0.0065646006460646136,-0.002494298745724044
2013-02-14,222.494,-0.008988383694412794,-0.0030378399299699323,-0.0038268049915927693,-0.0012907255691139152,0.005239584532644119,0.004100701040289391,0.0067046238782778374,-0.010705906676135135
2013-02-15,222.501,3.146152255784074e-05,-0.001579686986374096,-0.003434398952135853,-0.0013760942042997234,0.00476397401255615,0.004277639638060628,0.006669688001478974,-0.010494334856921972
2013-02-18,223.002,0.0022516752733696688,-0.0011775066689224457,-0.0025092991601793346,-0.001161835224396357,0.005033346506943375,0.0044190053023613245,0.006679874321539499,-0.014811526354023719
2013-02-19,224.648,0.007381099721078588,-0.00044750548181120563,-0.0011865703053625554,-0.0009263294687319271,0.006079251279711748,0.005216826535444774,0.006855994042231725,-0.036532708949111425
2013-02-20,223.952,-0.003098180264235584,-0.000484465488328456,-0.001521458815030674,-0.0009371613762414243,0.006098522214385018,0.005221797280867855,0.0068592685219192985,-0.024849074801743254
2013-02-21,220.112,-0.017146531399585663,-0.00211609502936303,-0.002576967479666481,-0.001500324786848269,0.0092299056546751,0.00709226223139772,0.007467623234112386,-0.032778767173075596
2013-02-22,220.166,0.00024532965035972687,-0.0020733214038026527,-0.0018265041950883743,-0.0013890111022117938,0.009242832534400657,0.006937104695046438,0.007467936138847482,-0.02566699672065631
2013-02-25,219.699,-0.002121126786152172,-0.002947881815707021,-0.0020626942423147333,-0.0019357876519429107,0.008932975743874201,0.00689900235299196,0.006856442182459793,-0.027637813553998858
2013-02-26,216.441,-0.014829380197452058,-0.00738997779941315,-0.003918741640612178,-0.0025628568542947483,0.00798456766406987,0.007625522002661138,0.007150435218483701,0.004139696268266935
2013-02-27,218.387,0.0089909028326427,-0.004972161180037493,-0.0027283133341829747,-0.0018158867648889409,0.010905248980450897,0.00865906234116317,0.007147811221585988,0.004524078814215127
2013-02-28,212.897,-0.025138858998017377,-0.006570626699723836,-0.004343360864543433,-0.0028843543273161594,0.013429471060446348,0.011114427742732998,0.008126427690440472,0.03605499372936216
2013-03-01,214.515,0.007599919209758665,-0.005099708787844048,-0.0035865150958233503,-0.0028837564858846957,0.014704862161395178,0.011688309683298191,0.008127224845142103,0.04007645153019612
2013-03-04,213.627,-0.004139570659394298,-0.005503397562492474,-0.0042256396890997475,-0.003119398285511791,0.014630165550101791,0.011506934385096724,0.008055019642608912,0.04346360712831232
2013-03-05,217.337,0.01736671862639083,0.0009358222022761043,-0.003227077798568523,-0.0022002774663277083,0.01646904279689673,0.01296674434373832,0.008760651901975834,0.019982791701367075
2013-03-06,219.375,0.009377142410174066,0.0010130701177823776,-0.001979545531127558,-0.0018628972098085042,0.01651710635426476,0.013566767054484775,0.009010001238243507,-0.003979487179487151
2013-03-07,220.573,0.00546096866096879,0.007133035649579611,0.00028120447492788745,-0.0012794659805042464,0.007743541239205532,0.01260832352943379,0.008894084263695203,0.003826397609861587
2013-03-08,223.112,0.011510928354784955,0.007915237478584868,0.0014077643453704104,-0.0013691698578809253,0.00799591285386065,0.013098525956100485,0.008744876181129346,-0.014136397862956729
2013-03-11,222.912,-0.0008964107712717828,0.008563869456209372,0.0015302359468584493,-0.0014109379452070876,0.006818387233977392,0.013067553530371182,0.008739339704612404,-0.020227713178294637
2013-03-12,221.68,-0.005526844674131448,0.0039851567961049165,0.0024604894991905103,-0.001375965816953099,0.007109793262832639,0.012066299383027963,0.00872003586348548,-0.032023637675929306
2013-03-13,218.502,-0.014335979790689235,-0.0007574676440677442,0.0001278012368573167,-0.0017927239416174097,0.009953953297910146,0.01289022439342492,0.009035703099280777,-0.03356491016100538
2013-03-14,221.417,0.013340838985455461,0.00081850642082959,0.003975771035204601,-0.0013981316069772006,0.011661899218202211,0.009908091506143265,0.009434283349504637,-0.05399766052290467
2013-03-15,219.958,-0.006589376606132347,-0.0028015545713538704,0.002556841453615499,-0.001488024198114568,0.010235040421192786,0.010338099861752012,0.009471644806018897,-0.05046872584766182
2013-03-18,218.403,-0.007069531456005307,-0.004036178708300575,0.0022638453739543983,-0.0014903644917748946,0.010319747812871588,0.010587484392982656,0.009473062085482896,-0.04802131838848367
2013-03-19,214.581,-0.01749975961868655,-0.006430761697211596,-0.0012228024505533397,-0.001878816851494806,0.012003796973666131,0.010800152279015941,0.009887695109201516,-0.03083684016758237
