date,nav,daily_return,rolling_volatility_30d,rolling_avg_return_30d,future_5d_return
2020-03-04,470.727,-0.0050663251071602,0.0134577492206255,-0.0031724461533794,-0.1689344354583442
2020-03-11,431.547,-0.0062702926750638,0.01602266074413,-0.0060210762125024,-0.16723555024134107
2020-03-06,456.531,-0.0285499672304169,0.0140037239809142,-0.0043315824485419,-0.16401295859426857
2020-03-16,381.654,-0.0734259452582921,0.0279083252282388,-0.0095178933381775,-0.1562514738480404
2020-03-09,434.27,-0.0487612013203923,0.0160397257812972,-0.0061478045466395,-0.1399474981002602
2020-03-17,373.495,-0.0213780020646973,0.0279922769356765,-0.009894882715403,-0.12455052945822565
2020-03-05,469.948,-0.0016548870151913,0.0134549672498229,-0.0030547095295039,-0.12352430481670307
2020-03-13,411.898,0.052895540701167,0.0251643240845254,-0.0073591965097687,-0.1107531476239264
2020-03-12,391.205,-0.0934822858228652,0.0226231649642482,-0.0089181113723545,-0.10919594585958758
2015-08-17,356.371,0.005956060644553,0.0101350035152876,0.0006494272682478,-0.09730028537675617
